Promoter Name	Absolute-Plus-1-Position	Component-Of	Regulated-By
PM0-9796		TU0-14516	
PM0-46554	3604297	COLI-K12-73	
PM0-46318	2278277	COLI-K12-46 // TU0-13553	
PM0-46513	4455728	COLI-K12-91 // TU0-45213	REG0-14971 // REG0-14970
PM00285	3911568	COLI-K12-80 // TU0-14693 // TU0-14692 // TU00202	REG0-5943 // REG0-5942 // REG0-5941 // REG0-5940
PM0-45369	2550554	COLI-K12-52	
PM00551	1330789	COLI-K12-27 // TU0-2505	
PM00045	366343	COLI-K12-7 // TU00036	REG0-13325 // REG0-9508 // REG0-4723 // REG0-4722 // REG0-4721 // REG0-4720 // REG0-4719 // REG0-4718 // REG0-4717 // REG0-4716 // REG0-4715 // REG0-4714
PM00208	4299407	COLI-K12-87 // TU00152	REG0-10804 // REG0-5774 // REG0-5773 // REG0-5772 // REG0-5771
PM0-7981	532390	COLI-K12-10 // TU0-7601	REG0-6077
PM0-8927	3637612	COLI-K12-74 // TU0-8491	REG0-6533
PM0-45284	2320081	COLI-K12-47	
PM0-44568	669944	COLI-K12-13	
PM0-45978	4205986	COLI-K12-86	
PM00169	2339539	COLI-K12-47 // TU00126	REG0-5701
PM0-10528	266227	COLI-K12-5 // TU0-14803	
PM0-9885	657250	COLI-K12-13 // TU0-13001	REG0-11310
PM00439	3311786	COLI-K12-67 // TU0-8474 // TU0-6660	REG0-12990
PM0-44770	1198516	COLI-K12-24	
PM0-45981	4222629	COLI-K12-86	
PM0-45914	4004231	COLI-K12-81	
PM00010	2741201	COLI-K12-56 // TU00008	REG0-12900 // REG0-4785 // REG0-4784 // REG0-4783
PM0-46600	105421	COLI-K12-2 // TU0-198689	
PM0-45035	1755209	COLI-K12-35	
PM0-8281	2239391	COLI-K12-45 // TU0-7901	REG0-5895
PM-8800	3550399	COLI-K12-72 // TU-8414	
PM0-45486	2949189	COLI-K12-60	
PM0-45016	1719673	COLI-K12-35	
PM0-45412	2712805	COLI-K12-55	
PM00518	953579	COLI-K12-19 // TU00380	REG0-9390
PM0-46501	1103335	TU0-45201 // COLI-K12-22	REG0-14943 // REG0-14942
PM0-46489	77367	TU0-45190 // COLI-K12-1	REG0-14917 // REG0-14916 // REG0-14915 // REG0-14914
PM0-44554	657998	COLI-K12-13	
PM0-10224	4175107	COLI-K12-85 // TU0-14228	
PM0-44393	237260	COLI-K12-4	
PM0-10280	3056851	COLI-K12-62 // TU0-14717	
PM00030	4382412	COLI-K12-89 // TU00023	REG0-4644 // REG0-4643 // REG0-4642 // REG0-4641 // REG0-4640 // REG0-4639 // REG0-4638
PM0-8527	1526011	COLI-K12-31 // TU0-8147	
PM0-10030	1335827	COLI-K12-27 // TU0-14625	
PM0-45163	2024843	COLI-K12-41	
PM0-3664	1890561	COLI-K12-38 // TU0-3464	
PM0-9793		TU0-14513	
PM00375	1799763	COLI-K12-36 // TU0-8855 // TU0-6657	REG0-6135
PM0-45846	3751962	COLI-K12-76	
PM0-8728	4351685	COLI-K12-89 // TU0-8347	REG0-6569 // REG0-6568 // REG0-6567
PM0-3663	1923385	COLI-K12-39 // TU0-3463	
PM0-45948	4073712	COLI-K12-83 // TU0-14069	REG0-13114
PM0-44426	310797	COLI-K12-6 // TU0-12879	REG0-11467
PM0-44669	947144	COLI-K12-19	
PM0-10465	257824	COLI-K12-5	REG0-15804
PM0-45431	2747930	COLI-K12-56	
PM0-9721	662706	COLI-K12-13 // TU0-14470	
PM0-44910	1490887	COLI-K12-30	
PM0-45605	3192055	COLI-K12-65	
PM0-46105	4607725	COLI-K12-94	
PM0-44614	798592	COLI-K12-16	
PM0-8461	3072857	COLI-K12-62 // TU0-8083 // TU0-8081	
PM0-44603	774644	COLI-K12-15	
PM0-45742	3499770	COLI-K12-71	
PM00040	3853023	COLI-K12-78 // TU0-42513 // TU00032	REG0-12622 // REG0-4707
PM0-10471	494817	COLI-K12-10 // TU0-14784	
PM00254	3354509	COLI-K12-68 // TU00182	REG0-11065 // REG0-10922 // REG0-10919 // REG0-9557 // REG0-5251 // REG0-5250 // REG0-5249 // REG0-5248 // REG0-5247 // REG0-5246 // REG0-5245 // REG0-5244 // REG0-5243 // REG0-5242 // REG0-5241
PM0-45298	2365756	COLI-K12-48	
PM0-8642	3721065	COLI-K12-76 // TU0-8262	REG0-6022
PM0-45261	2263713	COLI-K12-46	
PM0-45849	3751905	COLI-K12-76	
PM00264	2250806	COLI-K12-46 // TU00189	REG0-12906 // REG0-5175 // REG0-5174 // REG0-5173
PM1022	2255252	COLI-K12-46 // TU862	
PM0-44936	1517221	COLI-K12-31	
PM0-45626	3236513	COLI-K12-66	
PM0-44972	1615550	COLI-K12-33	
PM0-45794	3609930	COLI-K12-73	
PM00165	3569389	COLI-K12-73 // TU00122	REG0-11156 // REG0-5447
PM0-10468	3672136	COLI-K12-75 // TU0-13966	REG0-11648
PM0-44413	285271	COLI-K12-5	
PM0-45004	1676548	COLI-K12-34	
PM0-44876	1417811	COLI-K12-29	
PM0-46468	2545793	COLI-K12-52 // TU0-45167	REG0-14849 // REG0-14848
PM0-45743	3499835	COLI-K12-71 // TU0-8346	REG0-15772 // REG0-15769
PM0-46052	4479686	COLI-K12-91	
PM0-46425	1051999	COLI-K12-21 // TU0-44202	
PM00440	3318297	COLI-K12-67 // TU343 // TU0-6223 // TU00517	REG0-5225
PM0-46365	3246618	COLI-K12-66 // TU0-42612	REG0-12727 // REG0-12521 // REG0-12520 // REG0-12519
PM0-9600	3986432	COLI-K12-81 // TU0-8518	
PM0-45958	4102784	COLI-K12-83	
PM0-44751	1168863	COLI-K12-23	
PM0-45499	2985809	COLI-K12-61	
PM0-9969	310119	COLI-K12-6 // TU0-12878	
PM0-45343	2467737	COLI-K12-50	
PM0-45130	1941683	COLI-K12-39	
PM0-45025	1739849	COLI-K12-35	
PM00337	432091	COLI-K12-8 // TU00450	REG0-10537 // REG0-8991 // REG0-8990 // REG0-5916 // REG0-5915 // REG0-5914 // REG0-5913
PM0-44647	878246	COLI-K12-17	
PM00334	255809	COLI-K12-5 // TU0-6556	
PM00252	932328	COLI-K12-19 // TU00181	REG0-12483 // REG0-11243 // REG0-10503 // REG0-9556 // REG0-9555 // REG0-5240 // REG0-5239 // REG0-5238
PM0-44658	916212	COLI-K12-18	
PM00016	809302	COLI-K12-16 // TU00117	REG0-5645
PM0-44868	1393054	COLI-K12-28	
PM00227	622234	COLI-K12-12 // TU00165	REG0-9287 // REG0-9286 // REG0-9285 // REG0-5405
PM0-44478	447770	COLI-K12-9	
PM921	957595	COLI-K12-19 // TU0-5964 // TU00357	REG0-4829 // REG0-4828
PM00050	4341650	COLI-K12-88 // TU00040	REG0-4499 // REG0-4498 // REG0-4497 // REG0-4496 // REG0-4495 // REG0-4494 // REG0-4493
PM0-5243	4370616	COLI-K12-89 // TU0-5003	
PM00593	2405335	COLI-K12-49 // TU00448	REG0-5169 // REG0-5168 // REG0-5167
PM0-44469	405723	COLI-K12-8	
PM0-10415	3168653	COLI-K12-64 // TU0-13832	REG0-10732 // REG0-10731
PM-8780	3328853	COLI-K12-68 // TU-8397	
PM0-8102	1982442	COLI-K12-40 // TU0-7722	
PM00055	4223783	COLI-K12-86 // TU00042	REG0-4511 // REG0-4510
PM0-9996	824601	COLI-K12-16 // TU0-8566	
PM0-10257	3178012	COLI-K12-65 // TU0-14702	REG0-9754
PM0-45949	4073532	COLI-K12-83	
PM0-10146	3645350	COLI-K12-74 // TU0-13958	
PM00391	2055031	COLI-K12-42 // TU0-6422	REG0-9031
PM0-46411	943957	COLI-K12-19 // TU0-42696	
PM-8794	2013036	COLI-K12-41 // TU-8408	REG0-11051 // REG0-11050 // REG0-6539
PM00478	3960647	COLI-K12-81 // TU0-6511	
PM0-36188	1610720	COLI-K12-32 // TU0-36422	REG0-16437 // REG0-16436 // REG0-10903 // REG0-10902
PM0-44448	327257	COLI-K12-6	
PM0-44635	852626	COLI-K12-17	
PM0-45520	3006117	COLI-K12-61	
PM0-1730	3679229	COLI-K12-75 // TU0-1549	REG0-6418
PM0-46580	4207863	COLI-K12-86 // TU0-45277	REG0-15260 // REG0-15259 // REG0-15258 // REG0-15257 // REG0-15256 // REG0-15255 // REG0-15254 // REG0-15253 // REG0-15252
PM0-44688	1015532	COLI-K12-20	
PM0-46448	583580	COLI-K12-11 // TU0-45143	
PM-8816	1728353	COLI-K12-35 // TU-8430	
PM0-46140	2819370	COLI-K12-57 // TU0-42457	
PM0-46639	3248887	COLI-K12-66 // TU0-13863	
PM0-46412	2933223	COLI-K12-60 // TU0-42697	
PM0-44409	275206	COLI-K12-5	
PM00363	1146649	COLI-K12-23 // TU601	
PM0-44463	392660	COLI-K12-8	
PM0-45135	1945544	COLI-K12-39	
PM0-45501	2985741	COLI-K12-61	
PM502	385205	COLI-K12-7 // TU302	REG0-5111 // REG0-5110 // REG0-5109 // REG0-5108
PM0-44847	1335056	COLI-K12-27	
PM0-45678	3328857	COLI-K12-68	
PM0-46083	4563635	COLI-K12-93	
PM0-2201	4240300	COLI-K12-86 // TU0-2021	REG0-5422 // REG0-5421 // REG0-5420
PM0-45376	2563389	COLI-K12-52	
PM00665	1097676	COLI-K12-22 // TU00510	REG0-5308
PM0-1961	1258542	COLI-K12-25 // TU0-1781	
PM0-44900	1442900	COLI-K12-29	
PM00622	4360106	COLI-K12-89 // TU00467	REG0-16455 // REG0-13109 // REG0-11028 // REG0-6047 // REG0-6046 // REG0-6045 // REG0-6044 // REG0-6043 // REG0-6042 // REG0-6041 // REG0-6040 // REG0-6039
PM0-8601	4012884	COLI-K12-82 // TU0-8221	REG0-12897 // REG0-11335 // REG0-6058 // REG0-6057 // REG0-6056
PM0-46330	790463	COLI-K12-16 // TU0-42588	
PM0-45294	2358946	COLI-K12-48	
PM0-44609	785459	COLI-K12-16	
PM0-46344	3784203	COLI-K12-77 // TU0-13995	REG0-12226
PM0-44875	1413260	COLI-K12-28	
PM0-45091	1879390	COLI-K12-38	
PM0-1727	3219120	COLI-K12-65 // TU0-1546	REG0-9049 // REG0-6415
PM0-7901	1542690	COLI-K12-31	
PM0-44842	1330702	COLI-K12-27	
PM0-45796	3611841	COLI-K12-73	
PM00496	4178354	COLI-K12-85 // TU0-6512	REG0-11167
PM0-2522	3058549	COLI-K12-62 // TU0-2342	REG0-6370 // REG0-6369
PM0-45955	4086886	COLI-K12-83	
PM0-46127	270226	COLI-K12-5 // TU0-12862	
PM0-44493	490879	COLI-K12-10	
PM0-9850	4525888	COLI-K12-92 // TU0-14192	REG0-13451
PM0-9695	3742720	COLI-K12-76 // TU0-14454	
PM0-9704	3212693	COLI-K12-65 // TU0-14460	
PM0-46362	1810882	COLI-K12-37 // TU0-13384	REG0-12374
PM0-5501		TU0-5261	
PM0-45646	3254269	COLI-K12-66	
PM0-46404	4073663	COLI-K12-83 // TU0-42690	REG0-13115
PM0-45420	2725812	COLI-K12-55	
PM0-45330	2440241	COLI-K12-49	
PM0-45696	3378290	COLI-K12-69	
PM0-44484	475245	COLI-K12-9	
PM0-1661	1646388	COLI-K12-33 // TU0-1501	REG0-9317
PM0-44768	1197589	COLI-K12-24	
PM00320	49799	COLI-K12-1 // TU0-6401	REG0-9037 // REG0-9036 // REG0-9035
PM0-46114	4633899	COLI-K12-94	
PM0-46509	3941516	COLI-K12-80 // TU0-45209	REG0-14966 // REG0-14965 // REG0-14964 // REG0-14963 // REG0-14962 // REG0-14961 // REG0-14960 // REG0-14959
PM0-44816	1269323	COLI-K12-25	
PM0-45643	3254261	COLI-K12-66	
PM0-9369	3433686	COLI-K12-70 // TU0-7282	
PM0-44681	994141	COLI-K12-20	
PM0-10214	4376509	COLI-K12-89 // TU0-14682	REG0-9521
PM0-44829	1307359	COLI-K12-26	
PM0-44605	777537	COLI-K12-15	
PM383	1266899	COLI-K12-25 // TU305	
PM0-46075	4520540	COLI-K12-92	
PM0-45383	2622874	COLI-K12-53	
PM0-46552	1741201	TU0-45251 // COLI-K12-35	REG0-15127
PM0-10092	2537319	COLI-K12-51 // TU0-8487	
PM0-45426	2741751	COLI-K12-56	
PM0-46172	2719931	COLI-K12-55 // TU0-42472	REG0-11353 // REG0-11352
PM00623	3569455	COLI-K12-73 // TU00469	REG0-11157
PM0-45845	3737234	COLI-K12-76	
PM00628	2687526	COLI-K12-55 // TU00474	
PM0-46543	2147559	TU0-45243 // COLI-K12-43	REG0-15118
PM0-45102	1894779	COLI-K12-38	
PM0-44911	1490766	COLI-K12-30	
PM00657	3215597	COLI-K12-65 // TU00502	
PM0-45535	3055551	COLI-K12-62	
PM0-44337	11542	COLI-K12-0	
PM0-46010	4326836	COLI-K12-88	
PM0-8703	1263556	COLI-K12-25 // TU0-8323	
PM0-36243	2230395	COLI-K12-45 // TU0-13534	
PM1026	1084938	COLI-K12-22 // TU866	
PM00071	401707	COLI-K12-8 // TU00052	REG0-4617
PM0-44567	670046	COLI-K12-13	
PM924	4201905	COLI-K12-86 // TU783	REG0-10939 // REG0-4832 // REG0-4831
PM0-44663	929400	COLI-K12-19	
PM00552	4189753	COLI-K12-85 // TU00399	
PM0-45234	2194180	COLI-K12-44	
PM0-9725	1340135	COLI-K12-27 // TU0-13200 // TU0-14472	
PM00576	2406656	COLI-K12-49 // TU00428	REG0-6017
PM0-45543	3091018	COLI-K12-63	
PM0-10047	1655709	COLI-K12-33 // TU0-13335	REG0-12879
PM0-45962	4106449	COLI-K12-84	
PM0-44810	1244555	COLI-K12-25	
PM0-44434	318397	COLI-K12-6	
PM0-45880	3836838	COLI-K12-78	
PM1001	2231819	COLI-K12-45 // TU841	REG0-10530 // REG0-10487 // REG0-8981 // REG0-6014 // REG0-6013 // REG0-6012 // REG0-6011
PM00582	3640000	COLI-K12-74 // TU00433	
PM0-46445	3316027	COLI-K12-67 // TU0-44225	
PM0-44953	1553994	COLI-K12-31	
PM00544	1556596	COLI-K12-31 // TU0-1761	REG0-5614 // REG0-5613 // REG0-5612 // REG0-5611
PM00584	519949	COLI-K12-10 // TU0-6623	
PM0-45650	3267190	COLI-K12-66	
PM00342	497139	COLI-K12-10 // TU0-6481	
PM0-44912	1491647	COLI-K12-30	
PM0-8856	4601615	COLI-K12-94 // TU0-8868 // TU00261	
PM0-10031	1351118	COLI-K12-27 // TU0-13204	
PM0-44967	1611874	COLI-K12-32	
PM0-46235	794751	COLI-K12-16 // TU0-13041	REG0-11633 // REG0-11632 // REG0-11631
PM0-4423	3793970	COLI-K12-77 // TU0-4183	
PM0-44937	1517236	COLI-K12-31	
PM0-10431	4275418	COLI-K12-87 // TU0-8609	
PM0-44404	263818	COLI-K12-5	
PM0-44781	1202883	COLI-K12-24	
PM646	1298309	COLI-K12-26 // TU546	REG0-4961 // REG0-4960 // REG0-4959
PM0-44739	1144380	COLI-K12-23	
PM0-45472	2900472	COLI-K12-59	
PM0-45178	2044763	COLI-K12-41	
PM0-1358	3639848	COLI-K12-74 // TU0-1198	REG0-12986 // REG0-9110
PM0-45811	3653269	COLI-K12-74	
PM0-44335	6615	COLI-K12-0	
PM0-45235	2203784	COLI-K12-45	
PM0-46113	4633773	COLI-K12-94	
PM0-7781	1291405	COLI-K12-26 // TU0-7441	
PM0-9375	794995	COLI-K12-16 // TU0-14276	
PM0-10172	4120398	COLI-K12-84 // TU0-14669	
PM0-9828	1584028	COLI-K12-32 // TU0-14545	REG0-11205 // REG0-10843 // REG0-10841 // REG0-10840 // REG0-9268
PM0-45148	1979658	COLI-K12-40	
PM0-45603	3185342	COLI-K12-65	
PM00484	4109907	COLI-K12-84 // TU0-6485	
PM0-44599	752958	COLI-K12-15	
PM0-4761	3578818	COLI-K12-73 // TU0-4521	
PM00409	2533501	COLI-K12-51 // TU00479	REG0-10908 // REG0-5222 // REG0-5221
PM0-44989	1644975	COLI-K12-33	
PM0-7522	3853192	COLI-K12-78 // TU0-7182	
PM0-9761		TU0-13413	
PM0-44346	35399	COLI-K12-0	
PM0-10155	3926475	COLI-K12-80 // TU0-14030	REG0-12682 // REG0-12018 // REG0-12017 // REG0-12016
PM00352	848198	COLI-K12-17 // TU0-6649	
PM0-45293	2356690	COLI-K12-48	
PM0-10137	3438001	COLI-K12-70 // TU0-13909	
PM0-8441	4111524	COLI-K12-84 // TU0-8061	
PM0-46108	4621657	COLI-K12-94	
PM331	2520730	COLI-K12-51 // TU0-6409	REG0-10453 // REG0-10452 // REG0-10451
PM0-44391	234784	COLI-K12-4	
PM0-10076	2114351	COLI-K12-43 // TU0-14346	
PM0-44598	749182	COLI-K12-15	
PM0-45785	3604315	COLI-K12-73	
PM00319	30775	COLI-K12-0 // TU0-6884	
PM0-4802	4349091	COLI-K12-89 // TU0-4562	REG0-9589 // REG0-6229
PM0-8581	904523	COLI-K12-18 // TU0-8201	
PM0-10559	1755617	COLI-K12-35 // TU0-14822	
PM0-44525	568751	COLI-K12-11	
PM0-9802	251969	COLI-K12-5 // TU0-12854	REG0-10595
PM0-45236	2204402	COLI-K12-45	
PM0-45920	4007739	COLI-K12-82	
PM0-45718	3413607	COLI-K12-69	
PM0-44532	579805	COLI-K12-11	
PM0-44454	380957	COLI-K12-7	
PM0-44490	490718	COLI-K12-10	
PM0-8261	2153979	COLI-K12-44 // TU0-7881	REG0-11252 // REG0-5766 // REG0-5765
PM0-10050	1698122	COLI-K12-34 // TU0-13349	
PM-8774	2735961	COLI-K12-55 // TU-8391	
PM0-46399	4073606	COLI-K12-83 // TU0-42688	
PM0-46132	3785187	COLI-K12-77 // TU0-42455	
PM0-9881	3322590	COLI-K12-68 // TU0-14574	
PM0-44458	384708	COLI-K12-7	
PM0-9611	4579917	COLI-K12-93 // TU0-8264	REG0-8951
PM0-46364	1492119	COLI-K12-30 // TU0-13257	
PM0-45814	3672045	COLI-K12-75	
PM0-44705	1051373	COLI-K12-21	
PM00076	2597781	COLI-K12-53 // TU00055	REG0-4619
PM0-45773	3581841	COLI-K12-73	
PM0-9702	1272422	COLI-K12-26 // TU0-14458	REG0-15783
PM0-45720	3413602	COLI-K12-69	
PM0-44889	1425313	COLI-K12-29	
PM00156	329361	COLI-K12-6 // TU00115	REG0-11210 // REG0-5432 // REG0-5431 // REG0-5430
PM0-9260	1437121	COLI-K12-29 // TU0-8824	
PM0-46593	500015	COLI-K12-10 // TU0-8806	
PM0-8926	1185823	COLI-K12-24 // TU0-8490	REG0-6534
PM0-45975	4196714	COLI-K12-85	
PM0-46006	4301236	COLI-K12-88	
PM0-46640	3249270	COLI-K12-66 // TU0-198740	
PM00094	1323108	COLI-K12-27 // TU0-42510 // TU00067	REG0-5538 // REG0-5537 // REG0-5536
PM0-45167	2029370	COLI-K12-41	
PM0-45283	2311594	COLI-K12-47	
PM0-44898	1440846	COLI-K12-29 // TU0-41760	
PM0-4433	3201104	COLI-K12-65 // TU0-4192	
PM00435	3212473	COLI-K12-65 // TU00436	
PM0-45595	3172423	COLI-K12-64	
PM0-44853	1339165	COLI-K12-27	
PM00608	105045	COLI-K12-2 // TU0-1423	
PM0-45965	4118386	COLI-K12-84	
PM4	1453670	COLI-K12-29 // TU4	REG0-5105 // REG0-5104 // REG0-5103
PM0-45352	2495336	COLI-K12-51	
PM0-9552	21833	COLI-K12-0 // TU0-14394	
PM0-8562	1727801	COLI-K12-35 // TU0-8182	
PM00399	2101324	COLI-K12-43 // TU0-5101	REG0-11067 // REG0-11066 // REG0-6191
PM0-9727	4484273	COLI-K12-91 // TU0-14474	
PM0-46592	2552952	COLI-K12-52 // TU0-45289	REG0-15767
PM0-46076	4520401	COLI-K12-92	
PM0-45856	3759925	COLI-K12-76	
PM0-46487	2908152	COLI-K12-59 // TU0-45189	
PM0-44744	1153293	COLI-K12-23	
PM0-5442	52034	COLI-K12-1 // TU0-5202	
PM0-10177	4264283	COLI-K12-87 // TU0-14119	
PM406	3442565	COLI-K12-70 // TU00349	REG0-11168
PM00303	4097472	COLI-K12-83 // TU00219	REG0-5988 // REG0-5987 // REG0-5986 // REG0-5985
PM0-9643	432977	COLI-K12-8 // TU0-12921	
PM0-9361	1144728	COLI-K12-23 // TU-8407	
PM0-45608	3199753	COLI-K12-65	
PM00032	792081	COLI-K12-16 // TU0-42583 // TU0-42581 // TU0-42578 // TU00025	REG0-4885 // REG0-4658 // REG0-4657 // REG0-4656 // REG0-4655 // REG0-4654 // REG0-4653 // REG0-4652 // REG0-4651 // REG0-4650
PM0-45432	2750763	COLI-K12-56	
PM0-45905	3946780	COLI-K12-80	
PM00318	28343	COLI-K12-0 // TU0-6403	REG0-12853 // REG0-9574
PM0-45250	2237959	COLI-K12-45	
PM0-45012	1704873	COLI-K12-34	
PM00313	1934713	COLI-K12-39 // TU00227	REG0-10859 // REG0-6050 // REG0-6049 // REG0-6048
PM00297	4277423	COLI-K12-87 // TU00211	REG0-12904 // REG0-12111 // REG0-11073 // REG0-11072 // REG0-5974 // REG0-5973
PM0-10192	4457945	COLI-K12-91 // TU0-14167	
PM0-46041	4442270	COLI-K12-90	
PM0-8529	601929	COLI-K12-12 // TU0-8149	
PM0-4643	1310523	COLI-K12-26	
PM0-3781	2427849	COLI-K12-49 // TU0-3581	REG0-12687 // REG0-11533 // REG0-6314
PM0-44846	1335105	COLI-K12-27	
PM00002	2147559	COLI-K12-43 // TU00002	REG0-4758
PM0-46080	4558317	COLI-K12-93	
PM0-5801	3102988	COLI-K12-63 // TU0-5567 // TU0-5568 // TU0-5561	
PM0-8624	1946144	COLI-K12-39 // TU0-8244	
PM963	4393937	COLI-K12-89 // TU801	
PM0-45504	2987508	COLI-K12-61	
PM504	3561480	COLI-K12-72 // TU402	
PM582	3274934	COLI-K12-67 // TU482	REG0-10783 // REG0-9114 // REG0-5033 // REG0-5032
PM0-44708	1051830	COLI-K12-21	
PM0-44872	1405936	COLI-K12-28	
PM0-10109	2867607	COLI-K12-58 // TU0-14650	
PM0-10069	1999508	COLI-K12-40 // TU0-13453	
PM0-46187	1686654	COLI-K12-34 // TU0-42482	REG0-11519
PM0-45428	2741702	COLI-K12-56	
PM0-1881	1671327	COLI-K12-34 // TU0-1701	REG0-11636 // REG0-11635 // REG0-9993 // REG0-9044 // REG0-6431
PM00262	4114499	COLI-K12-84 // TU00188	REG0-5172 // REG0-5171
PM0-10501	2025313	COLI-K12-41 // TU0-8788	REG0-12768 // REG0-10654
PM0-1783	656083	COLI-K12-13 // TU0-1603	REG0-6426 // REG0-6425 // REG0-6424 // REG0-6423
PM0-45542	3089588	COLI-K12-63	
PM0-45570	3134020	COLI-K12-64	
PM00154	3927031	COLI-K12-80 // TU0-14263 // TU0-14262 // TU00113	REG0-9603 // REG0-9602 // REG0-9601 // REG0-5969 // REG0-5968 // REG0-5967 // REG0-5966
PM0-9807		TU0-14524	
PM0-8720	2013093	COLI-K12-41 // TU0-8340	REG0-11053 // REG0-11052
PM-8821	639002	COLI-K12-13 // TU-8435	
PM0-46506	3880150	COLI-K12-79 // TU0-45206	REG0-14956 // REG0-14955
PM0-44558	661545	COLI-K12-13	
PM0-44423	295656	COLI-K12-6	
PM0-44392	237235	COLI-K12-4	
PM0-45187	2067498	COLI-K12-42	
PM0-44915	1492116	COLI-K12-30	
PM0-45332	2448568	COLI-K12-50	
PM0-46157	1482904	COLI-K12-30 // TU0-42461	
PM-8803	3682016	COLI-K12-75 // TU-8417	
PM0-8911	1344638	COLI-K12-27 // TU0-8475	
PM0-45540	3089752	COLI-K12-63	
PM170	4467363	COLI-K12-91 // TU0-2422	REG0-6373
PM0-44775	1202185	COLI-K12-24	
PM0-46444	3965650	COLI-K12-81 // TU0-44224	
PM0-45335	2455668	COLI-K12-50	
PM0-44928	1502323	COLI-K12-30	
PM0-44394	237278	COLI-K12-4	
PM0-44839	1317339	COLI-K12-26	
PM0-44920	1496682	COLI-K12-30	
PM0-44336	8017	COLI-K12-0	
PM0-44797	1218953	COLI-K12-24	
PM0-44799	1224711	COLI-K12-25	
PM0-1962	1257882	COLI-K12-25 // TU0-1782	REG0-11756 // REG0-11755
PM0-2523	159171	COLI-K12-3 // TU00315	
PM00490	4128636	COLI-K12-84 // TU0-3741	REG0-11456 // REG0-6298 // REG0-6297 // REG0-6296 // REG0-6295 // REG0-6294 // REG0-6293 // REG0-6292
PM0-46060	4496347	COLI-K12-92	
PM00374	1799301	COLI-K12-36 // TU0-8856 // TU0-6626	
PM00298	1058056	COLI-K12-21 // TU00212	REG0-5979 // REG0-5978 // REG0-5977 // REG0-5976 // REG0-5975
PM00365	1247425	COLI-K12-25 // TU00396	
PM0-44988	1644972	COLI-K12-33	
PM0-45889	3855790	COLI-K12-78	
PM0-44342	15436	COLI-K12-0	
PM0-44986	1641690	COLI-K12-33	
PM00441	3327731	COLI-K12-68 // TU00414	
PM0-45688	3362094	COLI-K12-68	
PM0-45575	3147781	COLI-K12-64	
PM623	2911355	COLI-K12-59 // TU523	REG0-11220 // REG0-11219 // REG0-11218 // REG0-11217 // REG0-4940
PM0-44412	282252	COLI-K12-5	
PM0-5143	3656960	COLI-K12-74 // TU0-4903	REG0-11203 // REG0-10970 // REG0-10723 // REG0-6204 // REG0-6203 // REG0-6202
PM0-45550	3102254	COLI-K12-63	
PM0-8738	518568	COLI-K12-10	
PM0-44611	785465	COLI-K12-16	
PM00538	2798556	COLI-K12-57 // TU00394	
PM00027	167442	COLI-K12-3 // TU00020	REG0-4624
PM0-8848	2839429	COLI-K12-58 // TU00241	REG0-10472 // REG0-10471 // REG0-6571
PM0-46531	2533501	TU0-45232 // COLI-K12-51	REG0-15068 // REG0-15067 // REG0-15066
PM176	3516252	COLI-K12-71 // TU875	
PM0-9844	4126908	COLI-K12-84 // TU0-8506	REG0-12993
PM0-36259	4256502	COLI-K12-87 // TU0-36440	
PM0-45702	3386303	COLI-K12-69	
PM0-45915	4004258	COLI-K12-81	
PM0-44684	997814	COLI-K12-20	
PM0-45918	4005858	COLI-K12-81	
PM0-45310	2385750	COLI-K12-48	
PM0-10163	4026443	COLI-K12-82 // TU0-14055	
PM0-45995	4278314	COLI-K12-87	
PM0-9742	231064	COLI-K12-4 // TU0-12840	
PM0-44893	1428926	COLI-K12-29	
PM0-44652	897852	COLI-K12-18	
PM0-44537	606411	COLI-K12-12	
PM00234	2942639	COLI-K12-60 // TU00171	REG0-11430 // REG0-5748
PM0-9958	106530	COLI-K12-2 // TU0-14606	
PM0-44535	606053	COLI-K12-12	
PM0-45009	1693006	COLI-K12-34	
PM0-46131	583656	COLI-K12-11 // TU0-42454	REG0-12698
PM0-45323	2408831	COLI-K12-49 // TU0-13580	
PM0-44878	1418219	COLI-K12-29	
PM692	3742674	COLI-K12-76 // TU592	REG0-4907 // REG0-4906 // REG0-4905 // REG0-4904
PM0-44531	575774	COLI-K12-11	
PM0-10077	2137863	COLI-K12-43 // TU0-8723	REG0-11649
PM0-9553	22034	COLI-K12-0 // TU0-14395	
PM0-45891	3869412	COLI-K12-79	
PM223	3536755	COLI-K12-72 // TU163	REG0-5117
PM0-46454		TU0-13726	REG0-13455
PM0-45505	2988344	COLI-K12-61	
PM0-45861	3783810	COLI-K12-77	
PM0-46434	2524303	COLI-K12-51 // TU0-44211	
PM0-44970	1614788	COLI-K12-33	
PM0-44857	1351896	COLI-K12-27	
PM0-10228	3055974	COLI-K12-62 // TU0-36424 // TU0-13794	REG0-11902 // REG0-11901 // REG0-11900 // REG0-11899
PM0-44690	1018460	COLI-K12-20	
PM0-46325	1340186	COLI-K12-27 // TU0-42573	
PM0-9514	3455482	COLI-K12-70 // TU0-14374	
PM0-3802	348646	COLI-K12-7 // TU0-3602	REG0-10890 // REG0-6317 // REG0-6316 // REG0-6315
PM0-9516	3455519	COLI-K12-70 // TU0-14376	REG0-5398
PM00611	4330407	COLI-K12-88 // TU0-3882	REG0-5335 // REG0-5334 // REG0-5333
PM0-9791		TU0-14511	REG0-11455
