Transcription Factor Binding Sites	Abs-Center-Pos	Involved-In-Regulation	Regulated-Entity	Regulator
BS0-7650	3664834.5	REG0-9997 // REG0-9981	PM0-10288 // PM0-6061	EG12242-MONOMER
BS0-7831	1988580.5	REG0-10607	PM0-10490	PD00288
BS0-8968	1500439	REG0-14285 // REG0-13369	EG11883 // TU0-8701	EG12386-MONOMER
BS0-7562	3656855	REG0-15111 // REG0-9405	PM0-46542 // PM928	MONOMER0-155
BS00792	4496311	REG0-5641	PM00661	CPLX0-7705
BS00326	3105608.5	REG0-5689	PM00173	CPLX0-226
BS0-7996		REG0-10928	PM0-9843	PD00288
BS0-7404	2323292.5	REG0-9052	PM00155	PHOSPHO-ATOC
BS00512	3267288	REG0-5700	PM00168	PD03292
BS0-6946	4128530	REG0-6352	PM00488	CPLX0-7639
BS0-6965	121923.5	REG0-14990 // REG0-5140	PM0-46520 // PM00324	CPLX0-226
BS0-1882	4467329	REG0-6375 // REG0-6374 // REG0-6373	PM0-2623 // PM0-2622 // PM170	PHOSPHO-PHOP
BS0-1981	841642	REG0-6386	PM0-2701	CPLX0-7639
BS0-8252	2908682.5	REG0-11518 // REG0-11517 // REG0-11516	PM0-9576 // PM0-9575 // PM0-9574	PC00061
BS00078	4058215	REG0-5934 // REG0-4672	PM00312 // PM00034	PROTEIN-NRIP
BS0-5201	4455690.5d0	REG0-14971 // REG0-6481	PM0-46513 // PM0-1123	CPLX0-226
BS0-8915	3632997	REG0-13273	TU0-13953	G7072-MONOMER
BS0-7974	1610866.5	REG0-10902	PM0-36188	PD03270
BS0-8158	3059693.5	REG0-11318	PM0-1501	CPLX0-7671
BS587	4617176	REG0-4809	PM00025	CPLX0-7705
BS0-2002	3410163	REG0-4633	PM00028	CPLX0-7705
BS0-8627	2884238.5	REG0-12661	PM0-10544	CPLX0-8563
BS0-3465	1166048	REG0-5792	PM00218	PHOSPHO-ARCA
BS0-5701	3088212.5	REG0-6115	PM0-7421	CPLX0-226
BS344	2313038	REG0-5314 // REG0-4998	PM00630 // PM00631	PD00353
BS0-8368	1702154.5	REG0-11820	PM0-45010	MONOMER-60
BS441	1237457	REG0-5294 // REG0-5031 // REG0-5024	PM00540 // PM562 // PM561	PD00353
BS0-2843	4611056.5	REG0-15074 // REG0-5427	PM0-46534 // PM00529	PC00027
BS0-10503		REG0-15889	PM0-36253	G7688-MONOMER
BS0-3925	4554411.5	REG0-6184	PM0-5285	PD03270
BS0-7278	785553	REG0-4786	PM00011	CPLX0-7748
BS0-8949	366373	REG0-13325	PM00045	PD00365
BS0-8945	2900462.5	REG0-13310	TU0-13732	CPLX0-226
BS00006	70350	REG0-4772 // REG0-4765	PM00004 // PM00003	PC00003
BS0-8603		REG0-12609	TU0-13052	G7619-MONOMER
BS0-7648	2545661.5	REG0-14968 // REG0-9883 // REG0-9882	PM0-46511 // PM0-10276 // PM0-10275	CPLX0-226
BS00053	4617217	REG0-4813	PM00025	CPLX0-7740
BS0-7731		REG0-10432	PM0-10371	PHOSPHO-DPIA
BS0-8173	652196	REG0-11354	PM0-10381	PHOSPHO-NARL
BS0-8285	1078923.5	REG0-11581	PM206	PHOSPHO-BASR
BS00606	4347409.5d0	REG0-5807	PM00219	CPLX0-7797
BS0-8997	1103308	REG0-15138 // REG0-13460	PM0-46559 // PM00536	MONOMER0-4276
BS473	461242.5	REG0-4975 // REG0-4970	PM589 // PM588	CPLX0-7705
BS0-7692	1079113.5	REG0-10268	PM103	PUTA-MONOMER
BS0-7683	3244858.5	REG0-11523 // REG0-10258	PM0-5261 // PM00202	PD03270
BS55	3354357	REG0-14897 // REG0-5244	PM0-46479 // PM00254	PD00353
BS622	4348870.5d0	REG0-4912	PM00625	CPLX0-226
BS0-6986	4382424	REG0-15005 // REG0-4641	PM0-46523 // PM00030	PHOSPHO-NARL
BS0-7580	1754684.5	REG0-9460	PM0-10196	CPLX0-7797
BS0-8999	121831	REG0-14981 // REG0-13462	PM0-46520 // PM00324	MONOMER0-4276
BS0-3201	1889827	REG0-5899	PM0-4428	PD01520
BS00061	167439	REG0-4624	PM00027	CPLX0-7639
BS0-8481	451584.5	REG0-12230	PM00142	MONOMER0-4341
BS0-8286	1638949.5	REG0-11582	PM0-7321	PHOSPHO-BASR
BS0-6781	1946035.5d0	REG0-6124	PM00385	PC00010
BS762	131481.5d0	REG0-4927	PM263	CPLX0-226
BS0-8459	3664664	REG0-12187	PM0-10287	G6789-MONOMER
BS0-8292	1582570	REG0-11591	PM0-44963	PD00266
BS0-8924	4370481	REG0-14517 // REG0-13282	EG10600 // TU0-8610	G7072-MONOMER
BS0-2344		REG0-5504	PM00141	PD00288
BS0-1481	1556554	REG0-5612	PM00544	MONOMER0-46
BS0-9016	3532619	REG0-13492	TU0-8579	PHOSPHO-ARCA
BS0-8885	1678214	REG0-13229	TU0-13344	G7072-MONOMER
BS0-7552	1004728	REG0-9391	PM00084	CPLX0-7705
BS0-4428	2804884	REG0-4862	PM00423	PD00288
BS0-8335	3883933	REG0-11666 // REG0-11665	PM00465	MONOMER0-160
BS0-7429	1764522.5	REG0-9089	PM0-2801	G7326-MONOMER
BS00496	4100607.0d0	REG0-5373	PM00293	CPLX-124
BS0-14	2196455.5	REG0-6591	PM0-10	PC00010
BS0-8655	583459	REG0-12698	PM0-46131	PHOSPHO-ARCA
BS00324	2934078.5	REG0-5597	PM00172	CPLX0-226
BS66	1277852.5d0	REG0-4534	PM00061	CPLX0-7797
BS0-7216	1447428	REG0-6607	PM0-46300	G6706-MONOMER
BS00670	432148.5	REG0-5915	PM00337	CPLX0-7740
BS00620	765900.5	REG0-10703 // REG0-5260	PM0-4722 // PM00558	PC00103
BS0-8122	1905315.5	REG0-11237	PM0-46155	CPLX0-7672
BS00325	412619.5d0	REG0-5496	PM00140	CPLX0-226
BS0-7735	1657980	REG0-15121 // REG0-10436	PM0-46547 // PM0-5721	PHOSPHO-NARL
BS0-8695	3354167	REG0-12805	TU0-13891	CPLX0-228
BS00572	954533.5	REG0-5179	PM00353	CPLX0-7797
BS0-8842	1841523	REG0-14808 // REG0-13161	G6953 // TU0-8814	G7072-MONOMER
BS00023	2741253.5	REG0-4784	PM00010	MONOMER0-162
BS0-7634	3817706.5	REG0-9604	PM0-10242	PC00010
BS0-7384	2344747.5	REG0-9038	PM00063	CPLX0-8061
BS0-7675	121848.5	REG0-14983 // REG0-10889 // REG0-10174 // REG0-10173	PM0-46520 // PM00324 // PM741 // PM00014	PC00061
BS00773	236837	REG0-5382	PM00644	CPLX0-7705
BS545	1166042	REG0-5800	PM00218	CPLX0-7705
BS0-7486	622208	REG0-9289 // REG0-9288 // REG0-9285	PM0-4201 // PM00227	CPLX0-7639
BS0-4581	4100640	REG0-5372	PM00293	CPLX-124
BS0-8850	842184	REG0-14569 // REG0-13169	G6415 // TU0-8568	G7072-MONOMER
BS00772	3915422	REG0-5321 // REG0-5302	PM00643 // PM00642	PD00266
BS00794	127698.5d0	REG0-5911	PM00326	CPLX0-226
BS00713	848156	REG0-5752	PM00235	CPLX0-8566
BS0-7891	605496.5	REG0-10758	PM0-4864	PD00406
BS0-8442	636863.5	REG0-12122	PM0-10368	CPLX0-2781
BS85	4100721.5	REG0-5522	PM00089	CPLX0-7797
BS0-5041	622214	REG0-5405 // REG0-9010 // REG0-6304	PM00227 // PM0-4201	CPLX0-7639
BS0-8183	652074	REG0-11381	PM0-10381	CPLX0-7721
BS0-2221		REG0-6362	PM0-3321	PD00288
BS0-7899	1300949	REG0-10782	PM00306	CPLX0-7639
BS0-7841	2545918	REG0-14849 // REG0-14848 // REG0-10658 // REG0-10657	PM0-46468 // PM0-10266	CPLX0-7745
BS0-8474	1875657.5	REG0-12224 // REG0-12219	PM0-46338 // PM0-46339	G6976-MONOMER
BS0-6928	1277865	REG0-4527	PM00061	PHOSPHO-NARL
BS00488	3086037.5	REG0-5945	PM00288	CPLX-123
BS0-6362	933137.5	REG0-9145	PM0-9680	PC00010
BS0-7191		REG0-6226	PM0-5261	CPLX0-7797
BS0-7452	4432059	REG0-9169	PM-8827	PHOSPHO-NARP
BS0-7773	1735286	REG0-10492	PM00372	CPLX0-7756
BS0-8425	3926506	REG0-12018	PM0-10155	EG11084-MONOMER
BS0-7033	987185	REG0-15028 // REG0-4596	PM0-46528 // PM00066	CPLX0-7748
BS0-1501	2601041.5	REG0-4854	PM787	G7308-MONOMER
BS0-7273	1031496	REG0-4608	PM0-9395	CPLX0-7748
BS0-7585	1754658	REG0-9465	PM0-10196	PHOSPHO-NARL
BS0-7492	29470	REG0-9311	PM00151	CPLX0-7705
BS0-8037	1645890.5	REG0-11030	PM0-9527	CPLX0-7791
BS0-7314	3486000	REG0-5667 // REG0-5663	PM0-9554 // PM0-9556	CPLX0-7705
BS0-3782	3577630.5	REG0-5268	PM00314	PD03585
BS0-3562	1821764	REG0-8993 // REG0-5119	PM183	CPLX0-8595 // CPLX0-8258
BS0-8318	1866652.5	REG0-11640	PM0-10060	PHOSPHO-PHOB
BS0-8760	4012860	REG0-12896	PM0-8603	PD00214
BS00490	2634131.5	REG0-5952	PM00289	CPLX-123
BS0-6940	913945	REG0-6110	PM0-7361	PHOSPHO-NARP
BS0-7450	1880033	REG0-9167	PM0-9688	PHOSPHO-NARP
BS0-7132		REG0-4941	PM624	PD04418
BS0-2349	3494009	REG0-4550	PM00062	CPLX0-7705
BS0-7669	2089743.5	REG0-10099	PM0-10318	CPLX0-3781
BS0-7576		REG0-9422	PM0-9877	PD00519
BS0-2481	3219337	REG0-15179 // REG0-6334	PM0-46561 // PM0-3521	CPLX0-7705
BS0-7851	4605693	REG0-10676	PM0-8081	PD00214
BS0-4804	4516756	REG0-5331	PM00605	CPLX0-7639
BS162	4341766.5	REG0-5703 // REG0-4497	PM00175 // PM00050	MONOMER0-161
BS0-902	1619031.5d0	REG0-5921	PM00265	PD04418
BS-7074	687956.5	REG0-6543	PM-8798	CPLX0-3930
BS0-7140	4166314	REG0-15243 // REG0-5076	PM0-46578 // PM00514	MONOMER0-155
BS0-4102	4419866.5d0	REG0-6192	PM0-5402	CPLX0-226
BS0-8900	2926301	REG0-13254	TU0-13739	G7072-MONOMER
BS0-4702	3552605.5	REG0-4489	PM00049	MONOMER0-158
BS0-7963	451921.5	REG0-10891	PM00142	PC00061
BS0-8679	1488029	REG0-12710	PM324	PD00406
BS0-7662	3088076.5	REG0-10086	PM0-7421	MONOMER-52
BS0-8218	4101065	REG0-11470	PM00293	PD00221
BS0-2484	1832297	REG0-6487	PM0-1163	PROTEIN-NRIP
BS0-7679	2308835.5	REG0-10184	PM0-10338	MONOMER0-155
BS0-7003	1103444	REG0-15170 // REG0-5355	PM0-46559 // PM00536	CPLX0-7748
BS0-8537	3719831	REG0-12534	PM00452	PD00288
BS0-7981		REG0-10911	TU0-13636	PD00266
BS267	2524949	REG0-15009 // REG0-5107	PM0-46524 // PM501	CPLX0-7681
BS0-8501	1103427.5	REG0-15142 // REG0-12373	PM0-46559 // PM00536	G7571-MONOMER
BS446	1795742	REG0-4888	PM00241	PC00027
BS0-2554	3429191	REG0-15019 // REG0-6475	PM0-46525 // PM0-1351	CPLX0-7705
BS0-8082	1067894.5	REG0-11093	PM0-10013	PD01379
BS0-901	1619012	REG0-5922	PM00265	CPLX0-7705
BS00437	1230717.5d0	REG0-5570	PM00251	PC00010
BS0-7744	638617	REG0-10460	PM0-10408	PD00214
BS0-7397	1258696.5	REG0-9050	PM0-9651	CPLX0-226
BS0-2541	4035168	REG0-14842 // REG0-6450	PM0-46466 // PM0-1341	CPLX0-7705
BS0-8647	1720846.5	REG0-12670	TU0-8511	CPLX0-8563
BS0-7418	3657749.5	REG0-10960 // REG0-9064	PM0-10349 // PM0-5982	EG12243-MONOMER
BS0-7284	4235649	REG0-4480	PM0-9414	PC00084
BS0-7943	1103473.5	REG0-15153 // REG0-10850	PM0-46559 // PM00536	EG12008-MONOMER
BS0-7494	1646316	REG0-9317	PM0-1661	CPLX0-7705
BS0-7190		REG0-6600	PM0-9094	CPLX0-7797
BS0-1163	4166224	REG0-15246 // REG0-5073	PM0-46578 // PM00514	CPLX0-7705
BS00146	1277834	REG0-4536	PM00061	PHOSPHO-NARL
BS0-10765		REG0-16320	PM00514	MONOMER0-46
BS00580	2461055.5	REG0-4474	PM00110	PHOSPHO-OMPR
BS0-3482	771304	REG0-5502	PM00141	PHOSPHO-ARCA
BS0-3347	1293132	REG0-5678	PM00191	CPLX0-7705
BS-7061	4215349	REG0-4752	PM00001	CPLX0-7605
BS0-8898	2759176	REG0-13252	TU0-13690	G7072-MONOMER
BS00699	3492437.5	REG0-8989 // REG0-5342 // REG0-5340 // REG0-5336	PM00619 // PM00621 // PM00620	CPLX0-226
BS0-7791	229087	REG0-10516	PM0-10442	CPLX0-7756
BS0-2543	4035128	REG0-14844 // REG0-6448	PM0-46466 // PM0-1341	CPLX0-7705
BS00096	3853087	REG0-4707	PM00040	CPLX0-226
BS-7093	3128187.5d0	REG0-6029	PM167	CPLX0-226
BS0-3928	4551464.5d0	REG0-6221 // REG0-4985	PM0-5201 // PM101	EG20249-MONOMER
BS0-7680	2308881.5	REG0-10185	PM0-10338	MONOMER0-155
BS0-8410	1844965.5	REG0-11988	PM0-46308	CPLX0-7916
BS0-7510	3100859	REG0-9348	PM00430	CPLX0-7705
BS00505	2250769	REG0-5175	PM00264	PD00406
BS0-2745	4287460.5	REG0-15088 // REG0-6288	PM0-46541 // PM0-3923	CPLX0-226
BS0-8293	1582694	REG0-11592	PM0-44963	PD00266
BS0-8291	1688557.5	REG0-11590 // REG0-11587	PM00371 // PM00146	CPLX0-226
BS0-8376	2344316	REG0-11890	PM00063	PD00288
BS0-4821	1161657	REG0-6343	PM0-2761	CPLX0-7639
BS0-8876	945747	REG0-13218 // REG0-13217	TU0-13081 // TU-8382	G7072-MONOMER
BS0-20	739354.5d0	REG0-5064	PM446	PC00010
BS0-7673	2168421.5	REG0-10135	PM0-10331	PHOSPHO-EVGA
BS0-7708	117685.5	REG0-10382	PM0-10364	CPLX0-226
BS00588	4611148	REG0-15073 // REG0-5428	PM0-46534 // PM00529	PC00027
BS0-7129	29422.5	REG0-5884	PM00151	CPLX-123
BS0-7468	3666663.5	REG0-9264	PM0-2441	PD01352
BS0-7389	4462829.5	REG0-9043	PM0-5023	CPLX0-8061
BS450	1619031.5	REG0-5923	PM00265	PD00406
BS00415		REG0-5575	PM00178	PD00283
BS00074	792141.5	REG0-14869 // REG0-4662 // REG0-4660 // REG0-4657	PM0-46476 // PM00033 // PM00032	PD03028 // MONOMER-52
BS00509	1686690.5	REG0-5872	PM00147	PD00406
BS156	3536744	REG0-5113	PM221	PC00027
BS0-7945	3333601.5	REG0-10854	PM0-36158	EG12008-MONOMER
BS0-8124	853083.5	REG0-11239	PM0-46156	CPLX0-7672
BS00579	954533.5d0	REG0-5181	PM00353	CPLX0-226
BS0-8142		REG0-11258	PM00258	CPLX0-7669
BS0-2429	2313045.5	REG0-14831 // REG0-5211	PM0-46465 // PM00401	PD00406
BS0-5024	3965623.5	REG0-6357	PM00479	CPLX0-226
BS00079	4056369	REG0-4673	PM00035	CPLX0-8566
BS0-7620	1601275.5	REG0-9587	PM0-10233	CPLX0-8043
BS-7072	2013091	REG0-6540 // REG0-6539	PM-8797 // PM-8794	CPLX0-3930
BS-7091	1889866.5	REG0-5896	PM0-4428	CPLX0-226
BS0-7168	1764460.5	REG0-6347	PM0-2801	G7326-MONOMER
BS0-1126	963429	REG0-15275 // REG0-4898	PM0-46583 // PM00242	PC00027
BS0-7568	312795	REG0-9413	PM0-9892	CPLX0-7680
BS0-8432	3532588.5	REG0-12042	PM00193	CPLX0-226
BS0-2559	4207720	REG0-15259 // REG0-6458	PM0-46580 // PM0-1346	CPLX0-7705
BS387	2312859.5	REG0-4999 // REG0-4581	PM00631 // PM00065	PD00353
BS00233	85524	REG0-11402 // REG0-4485	PM00323 // PM00111	PD00353
BS0-7982	3539929	REG0-10912	PM0-8860	PD00266
BS0-8385		REG0-11899	PM0-10228	PD00288
BS181	4542642	REG0-5134	PM241	PC00027
BS67	4287629.5d0	REG0-5959	PM00280	CPLX0-7797
BS0-8565		REG0-12555	PM0-10300	MONOMER0-1
BS0-8463	3653896	REG0-12191	PM00137	G6789-MONOMER
BS0-7865	3206350	REG0-10709	PM0-10539	CPLX0-8048
BS0-5021	1329302.5	REG0-15130 // REG0-6531	PM0-46555 // PM0-1121	CPLX0-226
BS0-8828	4086077	REG0-14497 // REG0-13146	EG11858 // TU0-14073	G7072-MONOMER
BS0-7028	4351716	REG0-6569	PM0-8728	PHOSPHO-NARL
BS0-8753	3664877.5	REG0-12885	PM0-10288	EG12243-MONOMER
BS0-8151		REG0-11269	TU0-42468	PHOSPHO-CREB
BS0-9006	1908000	REG0-13469	PM0-10453	MONOMER0-4276
BS0-10758	2861567.5	REG0-4615	PM0-9374	CPLX0-3930
BS0-6945	451866	REG0-5852	PM00142	CPLX0-7639
BS0-2005	3410132	REG0-4627	PM00028	PC00027
BS0-7640	1823491.5	REG0-9620	PM0-10248	PC00010
BS0-6101	2509552.5	REG0-14851 // REG0-6093	PM0-46471 // PM0-7761	PC00061
BS0-7572	3906815	REG0-9418	PM0-5042	PD00519
BS0-2555	3429221	REG0-15020 // REG0-6474	PM0-46525 // PM0-1351	CPLX0-7705
BS0-7324	612685	REG0-6527 // REG0-5839	PM00343 // PM00225	CPLX0-7639
BS00738	4016297.5	REG0-10536 // REG0-5577	PM00179	CPLX0-226
BS0-9005	1907967	REG0-13468	PM0-10453	MONOMER0-4276
BS0-7310	2461167	REG0-4470	PM00110	PHOSPHO-ARCA
BS0-8384		REG0-14863 // REG0-11898	PM0-46473 // PM0-10229	CPLX0-7705
BS0-8444	2407853.5	REG0-12124	TU0-13580	CPLX0-2781
BS0-8990	3532666	REG0-13441	PM00193	CPLX0-7721
BS769	131349	REG0-4932	PM263	PHOSPHO-ARCA
BS0-8791	2751755	REG0-12983	PM0-3	MONOMER0-160
BS0-1461	1339259	REG0-5994	PM181	PD00406
BS0-8097		REG0-11117	TU-8382	PHOSPHO-BAER
BS0-7479	4100729	REG0-9278	PM00089	CPLX0-7639
BS563	1230527.5	REG0-4966	PM681	CPLX0-226
BS0-8835	240275	REG0-13154	TU0-8840	G7072-MONOMER
BS00090	2352582.5	REG0-4696 // REG0-4675	PM00039 // PM00037	CPLX0-226
BS00397	624728	REG0-5404	PM00226	CPLX0-7639
BS0-8645	1720985.5	REG0-12669	TU0-8511	CPLX0-8563
BS00440	3354263	REG0-14895 // REG0-5246	PM0-46479 // PM00254	PD00353
BS0-8661	189607	REG0-12701	TU0-12827	PD00406
BS0-8808		REG0-13125	PM0-46188	G6761-MONOMER
BS00720	1699271.5	REG0-5602 // REG0-5258	PM00177 // PM00260	CPLX0-226
BS0-2847	4611140.5	REG0-15078 // REG0-5423	PM0-46534 // PM00529	CPLX0-226
BS0-2341		REG0-6324	PM0-3341	PD00288
BS00676	4118198.5d0	REG0-5758	PM00238	PD03576
BS0-2781	987462.5	REG0-15027 // REG0-4597	PM0-46528 // PM00066	PHOSPHO-OMPR
BS00154	2312918.5	REG0-14836 // REG0-5206 // REG0-4569	PM0-46465 // PM00401 // PM00065	PHOSPHO-OMPR
BS0-7808	1492379	REG0-10566	PM0-10039	CPLX0-7705
BS00236	553179.5	REG0-5448	PM00113	CPLX-123
BS0-7668	3088256	REG0-10095	PM0-7421	PD00266
BS0-8697	282245	REG0-12816 // REG0-12815	TU0-12867 // TU0-12866	CPLX0-8257
BS0-6581	1572134.5	REG0-15065 // REG0-4988	PM0-46530 // PM450	EG11544-MONOMER
BS0-4582	4100721	REG0-5520	PM00089	PHOSPHO-ARCA
BS00585	2461047.5	REG0-4478	PM00110	CPLX0-226
BS0-5102	4246661.5	REG0-4737 // REG0-4728	PM00048 // PM00047	MONOMER0-158
BS348	2313206	REG0-5310 // REG0-4994 // REG0-4573	PM00630 // PM00631 // PM00065	PD00353
BS0-8185	89554	REG0-11385	PM0-1101	EG11088-MONOMER
BS00503	102703.5d0	REG0-15230 // REG0-5972	PM0-46574 // PM00296	PD02198
BS0-2545	3941446	REG0-14964 // REG0-6454	PM0-46509 // PM0-1343	CPLX0-7705
BS0-8743	1572256	REG0-15042 // REG0-12872	PM0-46530 // PM450	EG12243-MONOMER
BS627	4348722	REG0-4915	PM00625	PHOSPHO-NARL
BS00454	2250767.5	REG0-5173	PM00264	PD00365
BS0-7446	1880026	REG0-9163	PM0-9688	CPLX0-7756
BS0-8946	1517330.5	REG0-13311	TU0-13269	CPLX0-226
BS0-8709	4439453	REG0-12830	PM0-8526	PHOSPHO-PHOB
BS0-7921	1103439.5	REG0-15158 // REG0-10813	PM0-46559 // PM00536	CPLX0-7748
BS763	131471	REG0-4938	PM263	PHOSPHO-ARCA
BS0-4802	624734	REG0-5403	PM00226	CPLX0-7639
BS0-8595	2710365.5	REG0-15278 // REG0-12598	PM0-46585 // PM0-46373	MONOMER0-4147
BS00159	987154	REG0-15025 // REG0-4599	PM0-46528 // PM00066	PC00027
BS00019	4478345.5d0	REG0-4780	PM00008	CPLX0-228
BS0-6782	1946088.5d0	REG0-6123	PM00385	PC00010
BS0-5641	913917.5	REG0-6114	PM0-7361	CPLX0-7797
BS0-3961		REG0-6039	PM00622	CPLX0-7852
BS00643	4163342	REG0-5235	PM00493	CPLX0-7705
BS0-8257	3244882.5	REG0-11524	PM0-5261	PD03270
BS00020	3384649.5d0	REG0-4781	PM00009	CPLX0-228
BS502	3950489	REG0-4949	PM00475	PD00353
BS00247	260190	REG0-5461	PM00119	PHOSPHO-PHOB
BS0-1703	141294.5d0	REG0-6410 // REG0-6407	PM0-2222 // PM0-2221	CPLX0-226
BS0-7762	2850531	REG0-10486 // REG0-10480	PM00210 // PM00209	CPLX0-7756
BS0-4426	2804838	REG0-4864	PM00423	PD00288
BS327	3742568.5d0	REG0-4987 // REG0-4905	PM449 // PM692	CPLX0-226
BS0-5862	348532.5	REG0-6316 // REG0-6101	PM0-3802 // PM0-7561	MONOMER0-2421
BS0-1943	3146439	REG0-5069	PM197	PHOSPHO-NARL
BS0-7408	2685802	REG0-9058	PM00415	CPLX0-7639
BS0-2342		REG0-6328	PM0-3342	PD00288
BS0-8255	2185907	REG0-11521	PM0-9620	CPLX0-7639
BS0-7516	1638772	REG0-9354	PM0-7321	CPLX0-7705
BS00559	1934585.5	REG0-6049	PM00313	PD03585
BS0-7391	1103394.5	REG0-15165 // REG0-14943 // REG0-9046 // REG0-9045	PM0-46559 // PM0-46501 // PM00536 // PM0-9649	PHOSPHO-RSTA
BS0-9	2751758.5	REG0-6589	PM0-3	PC00010
BS0-8311	794710.5	REG0-11633	PM0-46235	PD04418
BS0-7970	2263524.5	REG0-10898	PM00221	PC00061
BS0-7609	485720.5	REG0-9570	PM624	EG11741-MONOMER
BS0-3353	595519.5	REG0-6399 // REG0-6398	PM0-2002 // PM0-2001	MONOMER0-4180
BS402	4215330	REG0-4746	PM00001	PC00027
BS0-8569	4050922.5	REG0-12557	PM0-5062	CPLX0-226
BS0-7193		REG0-6533	PM0-8927	CPLX0-7797
BS0-3474	4100722	REG0-5375	PM00293	PHOSPHO-ARCA
BS0-6982	954728	REG0-5200 // REG0-5182	PM00354 // PM00353	PHOSPHO-NARL
BS0-3281	703809	REG0-6260 // REG0-4514	PM0-4621 // PM00058	PD00266
BS201	122052	REG0-14985 // REG0-5145	PM0-46520 // PM00324	EG11088-MONOMER
BS0-7795	4016320.5	REG0-10528	PM00179	CPLX0-7740
BS0-8649	3455477.5	REG0-12675	PM0-9513	CPLX0-8563
BS528	1298561	REG0-14885 // REG0-4890	PM0-46478 // PM00279	CPLX0-7705
BS141	754747	REG0-5857	PM00143	PHOSPHO-ARCA
BS0-10538	4439357.5	REG0-15985	PM0-46597	CPLX0-226
BS773	4049814.5	REG0-4849	PM00483	CPLX0-226
BS0-6949	1764438	REG0-6350	PM0-2801	CPLX0-7639
BS00570	954744	REG0-5178	PM00353	PHOSPHO-ARCA
BS0-7185		REG0-6534	PM0-8926	CPLX0-7797
BS0-6882	1547263	REG0-5788	PM00217	PHOSPHO-NARP
BS0-3762	2303623	REG0-5063 // REG0-4874	PM444 // PM125	PHOSPHO-NARP
BS0-7979	1586692	REG0-10907	PM0-9849	PD00266
BS0-7785	1734175	REG0-10510	PM0-10444	CPLX0-7756
BS0-7256	4175258	REG0-5638	PM00659	CPLX0-7705
BS0-3343	1293076	REG0-5681	PM00191	CPLX0-7705
BS0-7709	3523008.5	REG0-10383	PM0-10365	CPLX0-226
BS0-7311	3658325.5	REG0-6176	PM0-5982	CPLX0-226
BS202	121951.5	REG0-14988 // REG0-5142	PM0-46520 // PM00324	CPLX0-226
BS00176	1191794.5	REG0-5275	PM00515	CPLX-123
BS0-10774		REG0-16329	PM0-1352	MONOMER0-46
BS0-7653	2243815.5	REG0-9985	PM0-10286	CPLX0-7796
BS0-7315	3485982	REG0-5666 // REG0-5662	PM0-9554 // PM0-9556	CPLX0-7705
BS113	1279750	REG0-4518	PM00060	PHOSPHO-NARL
BS0-7308	243392	REG0-5400	PM0-9520	PHOSPHO-ARCA
BS-7106	3086516.5d0	REG0-14912 // REG0-6390	PM0-46486 // PM0-1963	CPLX0-226
BS-7082	997581	REG0-6009	PM169	CPLX0-2781
BS621	4348809.5d0	REG0-4913	PM00625	CPLX0-7797
BS0-7471	1586738.5	REG0-9269	PM0-9849	PHOSPHO-EVGA
BS0-8866	430620	REG0-13189	TU0-12919	G7072-MONOMER
BS0-7293	2822096.5	REG0-6157	PM00424	CPLX0-7541
BS-7065	4215271	REG0-4749	PM00001	CPLX0-7605
BS0-8745	1582623	REG0-12877	PM0-44963	EG12243-MONOMER
BS00332	4016349.5	REG0-5576	PM00179	CPLX0-226
BS0-4482		REG0-6171	PM0-5982	G6789-MONOMER
BS143	755214	REG0-5859	PM00143	PHOSPHO-ARCA
BS00599	2799075	REG0-12676 // REG0-5378	PM0-46380 // PM00537	MONOMER0-155 // PD00353
BS0-2426	2313141.5	REG0-14824 // REG0-5312 // REG0-5218 // REG0-4996 // REG0-4575	PM0-46465 // PM00630 // PM00401 // PM00631 // PM00065	PD00353
BS00197	4100749	REG0-5523	PM00089	PHOSPHO-ARCA
BS0-7749		REG0-10465	PM0-10540	CPLX0-8048
BS0-7866	3206332	REG0-10710	PM0-10539	CPLX0-8048
BS0-1121	3493845	REG0-4551	PM00062	CPLX0-7705
BS0-2701	1074171	REG0-6283	PM0-3847	CPLX0-8566
BS0-8281	2365822.5	REG0-11577	TU0-13569	PHOSPHO-BASR
BS0-8786	813294.5	REG0-12978	PM00099	PC00010
BS424	1237531	REG0-5288	PM00540	CPLX0-226
BS0-8585	2710362	REG0-15283 // REG0-12593	PM0-46585 // PM0-46373	CPLX0-226
BS0-8159	3068889.5	REG0-11319	PM0-9890	CPLX0-7671
BS0-7043		REG0-15219 // REG0-5003	PM0-46571 // PM461	PHOSPHO-ARCA
BS0-8036	1645902.5	REG0-11029	PM0-9527	CPLX0-7791
BS0-4421	2804722	REG0-4869	PM00423	PD00288
BS0-7231	3601139	REG0-5165	PM421	PC00027
BS0-7327	331879.5	REG0-5607	PM0-9569	PC00061
BS760	1335747	REG0-4926	PM262	PHOSPHO-ARCA
BS0-7551	953581	REG0-9390	PM00518	CPLX0-7705
BS-7046	1825774.5	REG0-6558	PM-8764	PHOSPHO-BAER
BS0-5842	348539.5	REG0-6317 // REG0-6100	PM0-3802 // PM0-7561	CPLX0-226
BS-7060	4215364	REG0-4753	PM00001	CPLX0-7605
BS0-3564	1821726	REG0-5122	PM183	PD00266
BS0-8539	3719879.5	REG0-12535	PM00452	PD00288
