# Generated by /Users/albertzhang/devViv/vivarium-ecoli/reconstruction/ecoli/scripts/tf_binding_sites/convert_to_flat.py on Wed Aug 14 12:56:11 2024
"binding_site_id"	"coordinates"	"binding_TFs"	"regulated_TUs_or_genes"
"BS0-1481"	1556554	["MONOMER0-46"]	["TU0-1761"]
"BS0-9016"	3532619	["PHOSPHO-ARCA"]	["TU0-8579"]
"BS0-8885"	1678214	["G7072-MONOMER"]	["TU0-13344"]
"BS0-7552"	1004728	["CPLX0-7705"]	["TU00061"]
"BS0-4428"	2804884	["PD00288"]	["TU702"]
"BS0-8335"	3883933	["MONOMER0-160"]	["TU593"]
"BS0-7429"	1764522	["G7326-MONOMER"]	["TU0-2621"]
"BS00496"	4100607	["CPLX-124"]	["TU00208"]
"BS0-14"	2196456	["PC00010"]	["TU0-9"]
"BS0-8655"	583459	["PHOSPHO-ARCA"]	["TU0-42454"]
"BS00324"	2934078	["CPLX0-226"]	["TU00128"]
"BS66"	1277852	["CPLX0-7797"]	["TU00045"]
"BS0-7216"	1447428	["G6706-MONOMER"]	["TU0-8795"]
"BS00670"	432148	["CPLX0-7740"]	["TU00450"]
"BS00620"	765900	["PC00103"]	["TU00408", "TU0-4482"]
"BS0-8122"	1905316	["CPLX0-7672"]	["TU0-13420"]
"BS00325"	412620	["CPLX0-226"]	["TU00099"]
"BS0-7735"	1657980	["PHOSPHO-NARL"]	["TU0-5481", "TU0-45246"]
"BS0-8695"	3354167	["CPLX0-228"]	["TU0-13891"]
"BS00572"	954534	["CPLX0-7797"]	["TU00377"]
"BS0-8842"	1841523	["G7072-MONOMER"]	["G6953", "TU0-8814"]
"BS00023"	2741254	["MONOMER0-162"]	["TU00008"]
"BS0-7634"	3817706	["PC00010"]	["TU0-14002"]
"BS0-7384"	2344748	["CPLX0-8061"]	["TU00047"]
"BS0-7675"	121848	["PC00061"]	["TU00012", "TU0-45222", "TU641", "TU00522"]
"BS00773"	236837	["CPLX0-7705"]	["TU00489"]
"BS545"	1166042	["CPLX0-7705"]	["TU00158"]
"BS0-7486"	622208	["CPLX0-7639"]	["TU0-6042", "TU00165"]
"BS0-4581"	4100640	["CPLX-124"]	["TU00208"]
"BS0-8850"	842184	["G7072-MONOMER"]	["G6415", "TU0-8568"]
"BS00772"	3915422	["PD00266"]	["TU00488", "TU00280"]
"BS00794"	127698	["CPLX0-226"]	["TU00523"]
"BS00713"	848156	["CPLX0-8566"]	["TU00172"]
"BS0-7891"	605496	["PD00406"]	["TU0-4624"]
"BS0-8442"	636864	["CPLX0-2781"]	["TU0-12993"]
"BS85"	4100722	["CPLX0-7797"]	["TU00064"]
"BS0-5041"	622214	["CPLX0-7639"]	["TU0-6042", "TU00165"]
"BS0-8183"	652074	["CPLX0-7721"]	["TU0-14751"]
"BS0-2221"		["PD00288"]	["TU0-3141"]
"BS0-7899"	1300949	["CPLX0-7639"]	["TU00222"]
"BS0-7841"	2545918	["CPLX0-7745"]	["TU0-45167", "TU0-13624"]
"BS0-8474"	1875658	["G6976-MONOMER"]	["TU0-13404", "TU0-8713"]
"BS0-6928"	1277865	["PHOSPHO-NARL"]	["TU00045"]
"BS00488"	3086038	["CPLX-123"]	["TU00204"]
"BS0-6362"	933138	["PC00010"]	["TU0-14447"]
"BS0-7191"		["CPLX0-7797"]	["TU0-5021"]
"BS0-7452"	4432059	["PHOSPHO-NARP"]	["TU-8441"]
"BS0-7773"	1735286	["CPLX0-7756"]	["TU0-1681"]
"BS0-8425"	3926506	["EG11084-MONOMER"]	["TU0-14030"]
"BS0-7033"	987185	["CPLX0-7748"]	["TU00050", "TU0-45229"]
"BS0-1501"	2601042	["G7308-MONOMER"]	["TU686"]
"BS0-7273"	1031496	["CPLX0-7748"]	["TU0-13105"]
"BS0-7585"	1754658	["PHOSPHO-NARL"]	["TU0-14675"]
"BS0-7492"	29470	["CPLX0-7705"]	["TU00110"]
"BS0-8037"	1645890	["CPLX0-7791"]	["TU0-14381"]
"BS0-7314"	3486000	["CPLX0-7705"]	["TU0-14398", "TU0-14396"]
"BS0-3782"	3577630	["PD03585"]	["TU0-42512", "TU00228"]
"BS0-3562"	1821764	["CPLX0-8595", "CPLX0-8258"]	["TU00248"]
"BS0-8318"	1866652	["PHOSPHO-PHOB"]	["TU0-13400"]
"BS0-8760"	4012860	["PD00214"]	["TU0-8223"]
"BS00490"	2634132	["CPLX-123"]	["TU00205"]
"BS0-6940"	913945	["PHOSPHO-NARP"]	["TU0-7021", "TU0-42650"]
"BS0-7450"	1880033	["PHOSPHO-NARP"]	["TU0-13407"]
"BS0-7132"		["PD04418"]	["TU00233"]
"BS0-2349"	3494009	["CPLX0-7705"]	["TU00046"]
"BS0-7669"	2089744	["CPLX0-3781"]	["TU0-13493"]
"BS0-7576"		["PD00519"]	["TU0-14571"]
"BS0-2481"	3219337	["CPLX0-7705"]	["TU0-3341", "TU0-45258"]
"BS0-7851"	4605693	["PD00214"]	["TU0-7701"]
"BS0-4804"	4516756	["CPLX0-7639"]	["TU00151"]
"BS162"	4341766	["MONOMER0-161"]	["TU00040", "TU00131"]
"BS0-902"	1619032	["PD04418"]	["TU00190"]
"BS-7074"	687956	["CPLX0-3930"]	["TU-8412"]
"BS0-7140"	4166314	["MONOMER0-155"]	["TU0-1182", "TU0-45275"]
"BS0-4102"	4419866	["CPLX0-226"]	["TU0-5162"]
"BS0-8900"	2926301	["G7072-MONOMER"]	["TU0-13739"]
"BS0-4702"	3552606	["MONOMER0-158"]	["TU00039"]
"BS0-7963"	451922	["PC00061"]	["TU00101"]
"BS0-8679"	1488029	["PD00406"]	["TU102"]
"BS0-7662"	3088076	["MONOMER-52"]	["TU0-7081"]
"BS0-8218"	4101065	["PD00221"]	["TU00208"]
"BS0-2484"	1832297	["PROTEIN-NRIP"]	["TU0-1003"]
"BS0-7679"	2308836	["MONOMER0-155"]	["TU0-13560"]
"BS0-7003"	1103444	["CPLX0-7748"]	["TU00392", "TU0-45257"]
"BS0-8537"	3719831	["PD00288"]	["TU0-1581"]
"BS0-7981"		["PD00266"]	["TU0-13636"]
"BS267"	2524949	["CPLX0-7681"]	["TU301", "TU0-45226"]
"BS0-8501"	1103428	["G7571-MONOMER"]	["TU00392", "TU0-45257"]
"BS446"	1795742	["PC00027"]	["TU00174"]
"BS0-2554"	3429191	["CPLX0-7705"]	["TU0-45227", "TU0-1191"]
"BS0-8082"	1067894	["PD01379"]	["TU0-13114"]
"BS0-901"	1619012	["CPLX0-7705"]	["TU00190"]
"BS00437"	1230718	["PC00010"]	["TU00180"]
"BS0-7744"	638617	["PD00214"]	["TU0-14761"]
"BS0-7397"	1258696	["CPLX0-226"]	["TU0-8689"]
"BS0-2541"	4035168	["CPLX0-7705"]	["TU0-45165", "TU0-1181"]
"BS0-8647"	1720846	["CPLX0-8563"]	["TU0-8511"]
"BS0-7418"	3657750	["EG12243-MONOMER"]	["TU0-14736", "TU0-5682"]
"BS0-7284"	4235649	["PC00084"]	["TU0-14111", "TU0-14287"]
"BS0-7943"	1103474	["EG12008-MONOMER"]	["TU00392", "TU0-45257"]
"BS0-7494"	1646316	["CPLX0-7705"]	["TU0-1501"]
"BS0-7190"		["CPLX0-7797"]	["TU0-8658"]
"BS0-1163"	4166224	["CPLX0-7705"]	["TU0-1182", "TU0-45275"]
"BS00146"	1277834	["PHOSPHO-NARL"]	["TU00045"]
"BS0-10765"		["MONOMER0-46"]	["TU0-1182"]
"BS00580"	2461056	["PHOSPHO-OMPR"]	["TU00080"]
"BS0-3482"	771304	["PHOSPHO-ARCA"]	["TU00100"]
"BS0-3347"	1293132	["CPLX0-7705"]	["TU00139"]
"BS-7061"	4215349	["CPLX0-7605"]	["TU00001"]
"BS0-8898"	2759176	["G7072-MONOMER"]	["TU0-13690"]
"BS00699"	3492438	["CPLX0-226"]	["TU00466", "TU00465", "TU00464"]
"BS0-7791"	229087	["CPLX0-7756"]	["TU0-12839"]
"BS0-2543"	4035128	["CPLX0-7705"]	["TU0-45165", "TU0-1181"]
"BS00096"	3853087	["CPLX0-226"]	["TU0-42513", "TU00032"]
"BS-7093"	3128188	["CPLX0-226"]	["TU0-1963"]
"BS0-3928"	4551464	["EG20249-MONOMER"]	["TU0-4961", "TU101"]
"BS0-7680"	2308882	["MONOMER0-155"]	["TU0-13560"]
"BS0-8410"	1844966	["CPLX0-7916"]	["TU0-13390"]
"BS0-7510"	3100859	["CPLX0-7705"]	["TU0-6569"]
"BS00505"	2250769	["PD00406"]	["TU00189"]
"BS0-2745"	4287460	["CPLX0-226"]	["TU0-3723", "TU0-45241"]
"BS0-8293"	1582694	["PD00266"]	["TU0-41795"]
"BS0-8291"	1688558	["CPLX0-226"]	["TU00104", "TU0-6425", "TU0-42499"]
"BS0-8376"	2344316	["PD00288"]	["TU00047"]
"BS0-4821"	1161657	["CPLX0-7639"]	["TU0-2581"]
"BS0-8876"	945747	["G7072-MONOMER"]	["TU0-13081", "TU-8382"]
"BS0-20"	739354	["PC00010"]	["TU365"]
"BS0-7673"	2168422	["PHOSPHO-EVGA"]	["TU0-7744"]
"BS0-7708"	117686	["CPLX0-226"]	["TU0-12811"]
"BS00588"	4611148	["PC00027"]	["TU0-45234", "TU0-1981"]
"BS0-7129"	29422	["CPLX-123"]	["TU00110"]
"BS0-7468"	3666664	["PD01352"]	["TU0-2261", "TU0-14433"]
"BS0-7389"	4462830	["CPLX0-8061"]	["TU0-4783"]
"BS450"	1619032	["PD00406"]	["TU00190"]
"BS00415"		["PD00283"]	["TU00133"]
"BS00074"	792142	["PD03028", "MONOMER-52"]	["TU0-42583", "TU00025", "TU0-45177", "TU0-42580", "TU0-42578", "TU0-42581", "TU0-42584", "TU0-42582", "TU00026", "TU0-45176", "TU0-45178", "TU0-45179"]
"BS00509"	1686690	["PD00406"]	["TU00105"]
"BS156"	3536744	["PC00027"]	["TU161"]
"BS0-7945"	3333602	["EG12008-MONOMER"]	["TU00338", "TU0-42628"]
"BS0-8124"	853084	["CPLX0-7672"]	["TU0-42460"]
"BS00579"	954534	["CPLX0-226"]	["TU00377"]
"BS0-8142"		["CPLX0-7669"]	["TU00185"]
"BS0-2429"	2313046	["PD00406"]	["TU0-2644", "TU0-45164"]
"BS0-5024"	3965624	["CPLX0-226"]	["TU0-3102"]
"BS00079"	4056369	["CPLX0-8566"]	["TU00028"]
"BS0-7620"	1601276	["CPLX0-8043"]	["TU0-13299"]
"BS-7072"	2013091	["CPLX0-3930"]	["TU-8411", "TU-8408"]
"BS-7091"	1889866	["CPLX0-226"]	["TU0-4187"]
"BS0-7168"	1764460	["G7326-MONOMER"]	["TU0-2621"]
"BS0-1126"	963429	["PC00027"]	["TU0-45280", "TU00175"]
"BS0-7568"	312795	["CPLX0-7680"]	["TU0-12881"]
"BS0-8432"	3532588	["CPLX0-226"]	["TU00141"]
"BS0-2559"	4207720	["CPLX0-7705"]	["TU0-1186", "TU0-45277"]
"BS387"	2312860	["PD00353"]	["TU00476", "TU00049"]
"BS00233"	85524	["PD00353"]	["TU0-6882", "TU00081"]
"BS0-7982"	3539929	["PD00266"]	["TU00269"]
"BS0-8385"		["PD00288"]	["TU0-36424", "TU0-13794"]
"BS181"	4542642	["PC00027"]	["TU182"]
"BS67"	4287630	["CPLX0-7797"]	["TU00199"]
"BS0-8565"		["MONOMER0-1"]	["TU0-8849"]
"BS0-8463"	3653896	["G6789-MONOMER"]	["TU00096"]
"BS0-7865"	3206350	["CPLX0-8048"]	["TU00368"]
"BS0-5021"	1329302	["CPLX0-226"]	["TU0-961", "TU0-45253"]
"BS0-8828"	4086077	["G7072-MONOMER"]	["EG11858", "TU0-14073"]
"BS0-7028"	4351716	["PHOSPHO-NARL"]	["TU0-8347"]
"BS0-8753"	3664878	["EG12243-MONOMER"]	["TU0-14719"]
"BS0-8151"		["PHOSPHO-CREB"]	["TU0-42468"]
"BS0-9006"	1908000	["MONOMER0-4276"]	["TU0-14771"]
"BS0-10758"	2861568	["CPLX0-3930"]	["TU0-14275"]
"BS0-6945"	451866	["CPLX0-7639"]	["TU00101"]
"BS0-2005"	3410132	["PC00027"]	["TU00021"]
"BS0-7640"	1823492	["PC00010"]	["TU0-8267"]
"BS0-6101"	2509552	["PC00061"]	["TU0-45170", "TU0-7421"]
"BS0-7572"	3906815	["PD00519"]	["TU0-4802", "TU0-42515"]
"BS0-2555"	3429221	["CPLX0-7705"]	["TU0-45227", "TU0-1191"]
"BS0-7324"	612685	["CPLX0-7639"]	["TU00270", "TU00163"]
"BS00738"	4016298	["CPLX0-226"]	["TU00134"]
"BS0-9005"	1907967	["MONOMER0-4276"]	["TU0-14771"]
"BS0-7310"	2461167	["PHOSPHO-ARCA"]	["TU00080"]
"BS0-8384"		["CPLX0-7705"]	["TU0-45172", "TU0-14689", "TU0-45173", "TU0-36423"]
"BS0-8444"	2407854	["CPLX0-2781"]	["TU0-13580"]
"BS0-8990"	3532666	["CPLX0-7721"]	["TU00141"]
"BS769"	131349	["PHOSPHO-ARCA"]	["TU796"]
"BS0-8791"	2751755	["MONOMER0-160"]	["TU0-2"]
"BS0-1461"	1339259	["PD00406"]	["TU0-1741"]
"BS0-8097"		["PHOSPHO-BAER"]	["TU-8382"]
"BS0-7479"	4100729	["CPLX0-7639"]	["TU00064"]
"BS563"	1230528	["CPLX0-226"]	["TU581"]
"BS0-8835"	240275	["G7072-MONOMER"]	["TU0-8840"]
"BS00090"	2352582	["CPLX0-226"]	["TU00216", "TU00030"]
"BS00397"	624728	["CPLX0-7639"]	["TU00164"]
"BS0-8645"	1720986	["CPLX0-8563"]	["TU0-8511"]
"BS00440"	3354263	["PD00353"]	["TU00182", "TU0-45182"]
"BS0-8661"	189607	["PD00406"]	["TU0-12827"]
"BS0-8808"		["G6761-MONOMER"]	["TU0-42483"]
"BS00720"	1699272	["CPLX0-226"]	["TU00132", "TU00187"]
"BS0-2847"	4611140	["CPLX0-226"]	["TU0-45234", "TU0-1981"]
"BS0-2341"		["PD00288"]	["TU0-3161"]
"BS00676"	4118198	["PD03576"]	["TU00173"]
"BS0-2781"	987462	["PHOSPHO-OMPR"]	["TU00050", "TU0-45229"]
"BS00154"	2312918	["PHOSPHO-OMPR"]	["TU00049", "TU0-2644", "TU0-45164"]
"BS0-7808"	1492379	["CPLX0-7705"]	["TU0-14627"]
"BS00236"	553180	["CPLX-123"]	["TU00082"]
"BS0-7668"	3088256	["PD00266"]	["TU0-7081"]
"BS0-8697"	282245	["CPLX0-8257"]	["TU0-12866", "TU0-12867"]
"BS0-6581"	1572134	["EG11544-MONOMER"]	["TU0-45231", "TU369"]
"BS0-4582"	4100721	["PHOSPHO-ARCA"]	["TU00064"]
"BS00585"	2461048	["CPLX0-226"]	["TU00080"]
"BS0-5102"	4246662	["MONOMER0-158"]	["TU00038", "TU00123"]
"BS348"	2313206	["PD00353"]	["TU00476", "TU00477", "TU00049"]
"BS0-8185"	89554	["EG11088-MONOMER"]	["TU0-941"]
"BS00503"	102704	["PD02198"]	["TU00210", "TU0-45271"]
"BS0-2545"	3941446	["CPLX0-7705"]	["TU0-45209", "TU0-1183"]
"BS0-8743"	1572256	["EG12243-MONOMER"]	["TU0-45231", "TU369"]
"BS627"	4348722	["PHOSPHO-NARL"]	["TU00468"]
"BS00454"	2250768	["PD00365"]	["TU00189"]
"BS0-7446"	1880026	["CPLX0-7756"]	["TU0-13407"]
"BS0-8946"	1517330	["CPLX0-226"]	["TU0-13269"]
"BS0-8709"	4439453	["PHOSPHO-PHOB"]	["TU0-8146"]
"BS0-7921"	1103440	["CPLX0-7748"]	["TU00392", "TU0-45257"]
"BS763"	131471	["PHOSPHO-ARCA"]	["TU796"]
"BS0-4802"	624734	["CPLX0-7639"]	["TU00164"]
"BS0-8595"	2710366	["MONOMER0-4147"]	["TU0-42638", "TU0-45282"]
"BS00159"	987154	["PC00027"]	["TU00050", "TU0-45229"]
"BS00019"	4478346	["CPLX0-228"]	["TU00006"]
"BS0-6782"	1946088	["PC00010"]	["TU0-6661"]
"BS0-5641"	913918	["CPLX0-7797"]	["TU0-7021", "TU0-42650"]
"BS0-3961"		["CPLX0-7852"]	["TU00467"]
"BS00643"	4163342	["CPLX0-7705"]	["TU00430"]
"BS0-8257"	3244882	["PD03270"]	["TU0-5021"]
"BS00020"	3384650	["CPLX0-228"]	["TU00007"]
"BS502"	3950489	["PD00353"]	["TU0-42517", "TU525"]
"BS00247"	260190	["PHOSPHO-PHOB"]	["TU00086"]
"BS0-1703"	141294	["CPLX0-226"]	["TU0-2041", "TU0-2042"]
"BS0-7762"	2850531	["CPLX0-7756"]	["TU00153", "TU0-8344", "TU00154"]
"BS0-4426"	2804838	["PD00288"]	["TU702"]
"BS327"	3742568	["CPLX0-226"]	["TU368", "TU592"]
"BS0-5862"	348532	["MONOMER0-2421"]	["TU0-7221", "TU0-3602"]
"BS0-1943"	3146439	["PHOSPHO-NARL"]	["TU00289"]
"BS0-7408"	2685802	["CPLX0-7639"]	["TU681"]
"BS0-2342"		["PD00288"]	["TU0-3162"]
"BS0-8255"	2185907	["CPLX0-7639"]	["TU0-13514"]
"BS0-7516"	1638772	["CPLX0-7705"]	["TU0-6981"]
"BS00559"	1934586	["PD03585"]	["TU00227"]
"BS0-7391"	1103394	["PHOSPHO-RSTA"]	["TU0-14429", "TU00392", "TU0-45201", "TU0-45257"]
"BS0-9"	2751758	["PC00010"]	["TU0-2"]
"BS0-8311"	794710	["PD04418"]	["TU0-13041"]
"BS0-7970"	2263524	["PC00061"]	["TU00161"]
"BS0-7609"	485720	["EG11741-MONOMER"]	["TU00233"]
"BS0-3353"	595520	["MONOMER0-4180"]	["TU0-1821", "TU0-1822"]
"BS402"	4215330	["PC00027"]	["TU00001"]
"BS0-8569"	4050922	["CPLX0-226"]	["TU0-4822"]
"BS0-7193"		["CPLX0-7797"]	["TU0-8491"]
"BS0-3474"	4100722	["PHOSPHO-ARCA"]	["TU00208"]
"BS0-6982"	954728	["PHOSPHO-NARL"]	["TU00377", "TU00379"]
"BS0-3281"	703809	["PD00266"]	["TU00043", "TU0-4421"]
"BS201"	122052	["EG11088-MONOMER"]	["TU0-45222", "TU00522"]
"BS0-7795"	4016320	["CPLX0-7740"]	["TU00134"]
"BS0-8649"	3455478	["CPLX0-8563"]	["TU0-14373"]
"BS528"	1298561	["CPLX0-7705"]	["TU00198", "TU0-45181"]
"BS141"	754747	["PHOSPHO-ARCA"]	["TU00524"]
"BS0-10538"	4439358	["CPLX0-226"]	["TU0-93010"]
"BS773"	4049814	["CPLX0-226"]	["TU797"]
"BS0-6949"	1764438	["CPLX0-7639"]	["TU0-2621"]
"BS00570"	954744	["PHOSPHO-ARCA"]	["TU00377"]
"BS0-7185"		["CPLX0-7797"]	["TU0-8490"]
"BS0-6882"	1547263	["PHOSPHO-NARP"]	["TU00157"]
"BS0-3762"	2303623	["PHOSPHO-NARP"]	["TU363", "TU00305"]
"BS0-7979"	1586692	["PD00266"]	["TU0-7741"]
"BS0-7785"	1734175	["CPLX0-7756"]	["TU0-8805"]
"BS0-7256"	4175258	["CPLX0-7705"]	["TU00504"]
"BS0-3343"	1293076	["CPLX0-7705"]	["TU00139"]
"BS0-7709"	3523008	["CPLX0-226"]	["TU0-13927"]
"BS0-7311"	3658326	["CPLX0-226"]	["TU0-5682"]
"BS202"	121952	["CPLX0-226"]	["TU0-45222", "TU00522"]
"BS00176"	1191794	["CPLX-123"]	["TU00054"]
"BS0-10774"		["MONOMER0-46"]	["TU0-1192"]
"BS0-7653"	2243816	["CPLX0-7796"]	["TU0-13539"]
"BS0-7315"	3485982	["CPLX0-7705"]	["TU0-14398", "TU0-14396"]
"BS113"	1279750	["PHOSPHO-NARL"]	["TU00044"]
"BS0-7308"	243392	["PHOSPHO-ARCA"]	["TU0-8793"]
"BS-7106"	3086516	["CPLX0-226"]	["TU0-45188", "TU0-1783"]
"BS-7082"	997581	["CPLX0-2781"]	["TU0-6629"]
"BS621"	4348810	["CPLX0-7797"]	["TU00468"]
"BS0-7471"	1586738	["PHOSPHO-EVGA"]	["TU0-7741"]
"BS0-8866"	430620	["G7072-MONOMER"]	["TU0-12919"]
"BS0-7293"	2822096	["CPLX0-7541"]	["TU0-6441"]
"BS-7065"	4215271	["CPLX0-7605"]	["TU00001"]
"BS0-8745"	1582623	["EG12243-MONOMER"]	["TU0-41795"]
"BS00332"	4016350	["CPLX0-226"]	["TU00134"]
"BS0-4482"		["G6789-MONOMER"]	["TU0-5682"]
"BS143"	755214	["PHOSPHO-ARCA"]	["TU00524"]
"BS00599"	2799075	["MONOMER0-155", "PD00353"]	["TU0-8745", "TU00393"]
"BS0-2426"	2313142	["PD00353"]	["TU00049", "TU0-45164", "TU00476", "TU00477", "TU0-2644"]
"BS00197"	4100749	["PHOSPHO-ARCA"]	["TU00064"]
"BS0-7749"		["CPLX0-8048"]	["TU0-8757"]
"BS0-7866"	3206332	["CPLX0-8048"]	["TU00368"]
"BS0-1121"	3493845	["CPLX0-7705"]	["TU00046"]
"BS0-2701"	1074171	["CPLX0-8566"]	["TU0-3645"]
"BS0-8281"	2365822	["PHOSPHO-BASR"]	["TU0-13569"]
"BS0-8786"	813294	["PC00010"]	["TU00070"]
"BS424"	1237531	["CPLX0-226"]	["TU00255"]
"BS0-8585"	2710362	["CPLX0-226"]	["TU0-42638", "TU0-45282"]
"BS0-8159"	3068890	["CPLX0-7671"]	["TU0-13799"]
"BS0-7043"		["PHOSPHO-ARCA"]	["TU0-45268", "TU586"]
"BS0-8036"	1645902	["CPLX0-7791"]	["TU0-14381"]
"BS0-4421"	2804722	["PD00288"]	["TU702"]
"BS0-7231"	3601139	["PC00027"]	["TU221"]
"BS0-7327"	331880	["PC00061"]	["TU0-12889"]
"BS760"	1335747	["PHOSPHO-ARCA"]	["TU794"]
"BS0-7551"	953581	["CPLX0-7705"]	["TU00380"]
"BS-7046"	1825774	["PHOSPHO-BAER"]	["TU-8381"]
"BS0-5842"	348540	["CPLX0-226"]	["TU0-7221", "TU0-3602"]
"BS-7060"	4215364	["CPLX0-7605"]	["TU00001"]
"BS0-3564"	1821726	["PD00266"]	["TU00248"]
"BS0-8539"	3719880	["PD00288"]	["TU0-1581"]
"BS0-4521"	1986329	["CPLX-172"]	["TU00098", "TU0-45183"]
"BS0-5884"	2668940	["MONOMER0-2081", "G7331-MONOMER"]	["TU0-7201", "TU0-7202"]
"BS0-10"	1298333	["PHOSPHO-NARL"]	["TU546", "TU00198", "TU0-45181"]
"BS00404"	2240626	["PD00261"]	["TU00168", "TU0-45256"]
"BS0-8762"	4133813	["PD00214"]	["TU00034"]
"BS0-8045"	3301286	["PD01379"]	["TU0-14656"]
"BS0-8510"	2924707	["MONOMER0-1"]	["TU0-4761"]
"BS0-1901"	1908825	["PHOSPHO-PHOP"]	["TU0-2447"]
"BS0-8906"	3172991	["G7072-MONOMER"]	["TU0-13836"]
"BS0-7200"		["CPLX0-7797"]	["TU0-8661"]
"BS0-10770"		["MONOMER0-46"]	["TU0-1190"]
"BS0-8008"	1572112	["EG12243-MONOMER"]	["TU0-45231", "TU369"]
"BS0-7218"	403622	["PD01379"]	["TU0-8872"]
"BS0-10741"	1673716	["CPLX0-8952"]	["TU0-13343"]
"BS0-7332"	903798	["PC00005"]	["TU00240"]
"BS00134"	4132566	["CPLX0-7796"]	["TU00218"]
"BS0-7153"	3267198	["CPLX0-7797"]	["TU00125"]
"BS0-6994"		["PD04418"]	["TU0-8335"]
"BS00216"	3100792	["CPLX0-7797"]	["TU00075"]
"BS00321"	2240608	["CPLX0-226"]	["TU00168", "TU0-45256"]
"BS00438"	932376	["PD00353"]	["TU00181"]
"BS0-3144"	866571	["PHOSPHO-NARL"]	["TU00302"]
"BS0-7513"	1638895	["CPLX0-7705"]	["TU0-6981"]
"BS0-6483"		["PD00288"]	["TU0-2261", "TU0-14433"]
"BS0-2185"	454386	["PHOSPHO-OMPR"]	["TU0-45284", "TU00386"]
"BS0-2746"	4287514	["CPLX0-226"]	["TU0-3723", "TU0-45241"]
"BS0-7748"	2001813	["CPLX0-7756"]	["TU00415"]
"BS0-4128"	4494494	["PD03585"]	["TU0-4682", "TU0-4681"]
"BS0-7601"	1298419	["PD00353"]	["TU00198", "TU0-45181"]
"BS0-2961"	4128596	["CPLX0-7796"]	["TU0-3741"]
"BS0-6321"	833046	["PC00010"]	["TU0-6301"]
"BS00183"	1737880	["CPLX-123"]	["TU00059"]
"BS0-10855"		["CPLX0-7639"]	["TU0-198707"]
"BS0-7288"	997531	["PC00027"]	["TU0-6629"]
"BS0-7712"	636622	["PHOSPHO-ARCA"]	["TU0-12993"]
"BS0-8271"	4554550	["EG20249-MONOMER"]	["TU0-5041"]
"BS00660"	2405245	["PC00027"]	["TU00310"]
"BS00076"	4058294	["CPLX0-226"]	["TU00027", "TU0-5901"]
"BS0-8165"	2344474	["CPLX0-7669"]	["TU00047"]
"BS0-8555"	1313864	["CPLX0-7797"]	["TU0-8813"]
"BS0-8489"	1978385	["G7947-MONOMER"]	["TU00136"]
"BS0-5061"	792076	["CPLX0-2021"]	["TU0-42583", "TU00025", "TU0-45177", "TU0-42578", "TU0-42581", "TU0-45176", "TU0-45178", "TU0-45179"]
"BS269"	3730848	["MONOMER0-165"]	["TU67"]
"BS0-5341"	1230472	["PD00288"]	["TU581"]
"BS663"	4542770	["PC00027"]	["TU182"]
"BS00035"	29610	["CPLX0-228"]	["TU00109"]
"BS-7087"	1103386	["CPLX0-226"]	["TU00392", "TU0-45257"]
"BS0-8938"	1655232	["CPLX0-226"]	["TU0-13333"]
"BS0-7930"	3231627	["PD01520"]	["TU0-13853"]
"BS0-8879"	1053215	["G7072-MONOMER"]	["TU0-13111"]
"BS0-1502"	2601041	["MONOMER0-183"]	["TU686"]
"BS0-10442"	3499794	["CPLX0-226"]	["TU0-8346"]
"BS586"	3883939	["MONOMER0-160"]	["TU593", "TU00259"]
"BS0-8155"	246526	["CPLX0-7787"]	["TU0-12849"]
"BS0-7457"	451830	["EG11088-MONOMER"]	["TU00101"]
"BS0-8858"	3725803	["G7072-MONOMER"]	["TU0-8590"]
"BS0-2571"	223304	["CPLX0-7705"]	["TU0-45269", "TU0-1189"]
"BS0-3744"	3906749	["CPLX0-7705"]	["TU0-4802", "TU0-42515"]
"BS00002"	2147600	["PD00230"]	["TU00002", "TU0-45243"]
"BS0-8013"	3656844	["EG12243-MONOMER"]	["TU0-4903", "TU0-45279", "TU0-45242", "TU00282"]
"BS0-1642"	3128183	["PC00027"]	["TU0-1962"]
"BS00456"	1619075	["CPLX0-7710"]	["TU00190"]
"BS0-8088"	2265372	["CPLX0-226"]	["TU0-14238", "TU0-13547"]
"BS0-7698"	4392748	["MONOMER0-160"]	["TU0-14738"]
"BS0-5722"	2352118	["PD03576"]	["TU00216"]
"BS0-7371"	2185904	["CPLX0-7639"]	["TU0-13514"]
"BS0-7213"	1592568	["CPLX0-7425"]	["TU00284"]
"BS0-2548"	2800595	["CPLX0-7639"]	["TU0-1022", "TU0-3403"]
"BS0-6972"	1735386	["CPLX0-226"]	["TU0-1681"]
"BS0-7958"	3216557	["CPLX0-7639"]	["TU0-8327"]
"BS00239"	3792644	["PD00353"]	["TU00225"]
"BS161"	4341786	["MONOMER0-161"]	["TU00040", "TU00131"]
"BS0-7275"	1081252	["CPLX0-7748"]	["TU0-13115"]
"BS00665"	3105610	["CPLX0-226"]	["TU00129"]
"BS0-2084"	2405236	["PC00027"]	["TU00310"]
"BS0-8940"	346368	["CPLX0-226"]	["TU0-8548"]
"BS0-6502"	578954	["PHOSPHO-PHOP"]	["TU0-7783"]
"BS0-8890"	2010196	["G7072-MONOMER"]	["TU0-13457"]
"BS0-8043"	1592540	["EG10442-MONOMER"]	["TU00284"]
